time_bin_5sec,west_in,east_in,north_in,south_in,total_flow
0,38,33,48,38,157
1,105,107,70,28,310
2,54,94,34,35,217
3,34,118,71,30,253
4,127,137,51,31,346
5,153,121,28,24,326
6,74,145,53,16,288
7,83,124,51,33,291
8,122,119,20,15,276
9,91,86,64,30,271
10,139,107,96,30,372
11,112,135,23,29,299
12,84,122,25,32,263
13,123,121,91,37,372
14,180,90,87,14,371
15,121,108,35,37,301
16,116,173,57,18,364
17,116,101,35,28,280
18,99,131,50,41,321
19,129,92,30,36,287
20,125,136,41,35,337
21,111,102,61,36,310
22,110,133,26,17,286
23,123,135,38,15,311
24,120,138,67,37,362
25,114,106,92,20,332
26,85,149,44,50,328
27,160,141,58,58,417
28,155,117,44,59,375
29,147,133,58,38,376
30,177,151,76,34,438
31,115,174,53,13,355
32,177,136,24,30,367
33,106,167,58,44,375
34,106,100,58,20,284
35,156,163,11,32,362
36,136,155,60,31,382
37,182,121,61,36,400
38,55,103,40,23,221
39,141,121,73,11,346
40,104,113,31,22,270
41,104,139,44,35,322
42,76,111,26,37,250
43,118,75,17,19,229
44,128,109,31,29,297
45,76,91,17,19,203
46,110,79,32,40,261
47,123,88,20,22,253
48,73,92,66,31,262
49,113,99,63,39,314
50,68,114,53,20,255
51,86,123,100,28,337
52,84,100,32,30,246
53,96,110,53,28,287
54,103,99,79,32,313
55,99,113,16,38,266
56,71,78,48,9,206
57,87,124,53,18,282
58,73,131,46,40,290
59,84,95,29,28,236
60,148,88,100,36,372
61,71,73,27,47,218
62,146,106,67,45,364
63,105,109,59,30,303
64,116,101,31,18,266
65,89,83,39,39,250
66,102,103,35,23,263
67,105,178,13,46,342
68,120,154,22,20,316
69,128,146,70,36,380
70,112,154,71,17,354
71,134,110,64,31,339
72,76,190,42,33,341
73,91,198,44,15,348
74,129,145,22,34,330
75,178,147,68,35,428
76,78,107,39,19,243
77,156,182,31,31,400
78,112,133,28,29,302
79,131,110,47,42,330
80,86,134,33,27,280
81,62,164,62,38,326
82,73,143,42,26,284
83,94,95,59,48,296
84,93,126,39,33,291
85,54,59,21,8,142
86,46,74,23,0,143
87,69,57,10,0,136
88,56,59,23,0,138
89,38,78,33,0,149
90,57,64,21,0,142
91,33,67,46,0,146
92,17,58,28,0,103
93,32,78,30,0,140
94,68,59,29,1,157
95,46,81,47,2,176
96,35,74,23,2,134
97,39,94,39,1,173
98,42,80,36,7,165
99,69,86,30,11,196
100,23,82,24,4,133
101,6,76,25,7,114
102,69,53,37,5,164
103,52,78,24,4,158
104,37,72,0,6,115
105,55,57,30,9,151
106,47,86,15,10,158
107,24,70,0,7,101
108,47,85,24,5,161
109,32,80,0,7,119
110,66,101,0,0,167
111,46,97,24,2,169
112,31,101,20,0,152
113,43,110,9,0,162
114,57,89,26,0,172
115,61,87,0,0,148
116,71,55,10,0,136
117,64,39,22,0,125
118,46,37,29,0,112
119,19,42,27,0,88
120,37,64,19,0,120
121,32,47,21,0,100
122,31,36,19,0,86
123,34,29,1,0,64
124,55,44,29,0,128
125,32,66,11,1,110
126,46,70,48,2,166
127,17,53,12,0,82
128,11,68,27,0,106
129,62,80,39,1,182
130,34,65,22,3,124
131,67,78,39,1,185
132,68,85,41,0,194
133,56,58,23,0,137
134,93,58,20,5,176
135,78,71,14,2,165
136,56,62,16,9,143
137,59,82,31,4,176
138,82,53,0,5,140
139,62,72,42,10,186
140,92,62,14,14,182
141,90,81,8,9,188
142,122,79,22,11,234
143,57,102,11,6,176
144,110,74,12,0,196
145,74,64,18,0,156
146,65,118,11,1,195
147,84,108,9,0,201
148,86,96,18,0,200
149,64,54,31,0,149
150,40,60,0,0,100
151,55,72,23,0,150
152,70,48,37,0,155
153,49,51,16,0,116
154,75,53,0,0,128
155,26,47,12,0,85
156,45,49,38,0,132
157,23,47,26,0,96
158,46,35,25,3,109
159,68,32,13,0,113
160,62,34,14,4,114
161,44,42,39,0,125
162,48,36,12,0,96
163,12,16,0,0,28
