series,model,order,mae,rmse,mape_percent
west_in,SARIMAX,"(1, 0, 1)",0.7656156362876079,0.8702804106104207,2.0080539919359652
west_in,Naive persistence,,0.47058823529411764,0.7669649888473704,75.0
east_in,SARIMAX,"(1, 0, 1)",1.3428454693103622,1.4508030824929337,47.48941407744105
east_in,Naive persistence,,1.0588235294117647,1.4552137502179978,91.66666666666666
north_in,SARIMAX,"(1, 0, 1)",1.0592994072183,1.3318624508825363,30.077128192446533
north_in,Naive persistence,,1.3529411764705883,1.9250668437592438,110.71428571428572
south_in,SARIMAX,"(1, 0, 1)",0.8143992367051022,0.8571396578213993,24.89020883084833
south_in,Naive persistence,,0.4117647058823529,0.7276068751089989,100.0
total_flow,SARIMAX,"(1, 0, 1)",2.1901157463437273,2.4838276754751,128.92488151046803
total_flow,Naive persistence,,1.6470588235294117,2.1143765594836976,66.66666666666666
