time_bin_10sec,west_in,east_in,north_in,south_in,total_flow
0,2,1,0,0,3
1,2,1,1,0,4
2,1,1,1,0,3
3,2,6,2,0,10
4,2,3,0,2,7
5,1,4,1,0,6
6,1,3,2,1,7
7,0,2,1,1,4
8,1,1,1,1,4
9,2,0,3,5,10
10,3,1,0,1,5
11,1,1,1,2,5
12,1,1,4,3,9
13,1,1,3,2,7
14,1,1,1,2,5
15,1,1,2,0,4
16,2,1,2,0,5
17,0,0,0,1,1
18,3,3,0,2,8
19,1,1,3,0,5
20,1,1,2,0,4
21,2,2,0,1,5
22,2,1,0,1,4
23,1,0,0,0,1
24,1,4,0,2,7
25,2,4,1,1,8
26,1,3,1,0,5
27,3,1,2,0,6
28,1,3,0,1,5
29,2,1,2,1,6
30,1,1,2,1,5
31,1,2,3,2,8
32,0,1,3,2,6
33,1,2,2,2,7
34,1,3,3,1,8
35,1,1,5,1,8
36,0,3,0,0,3
37,1,0,1,2,4
38,0,0,1,3,4
39,1,4,3,1,9
40,1,3,1,2,7
41,3,3,0,1,7
42,1,4,1,1,7
43,0,4,1,0,5
44,0,2,0,0,2
45,1,1,1,0,3
46,0,2,0,0,2
47,1,2,2,1,6
48,0,0,0,1,1
49,0,2,1,0,3
50,0,1,1,0,2
51,0,3,1,0,4
52,0,0,0,1,1
53,1,1,1,0,3
54,0,1,0,0,1
55,1,1,1,1,4
56,0,0,0,0,0
57,1,1,2,0,4
58,3,2,0,0,5
59,0,4,1,0,5
60,2,0,1,0,3
61,0,0,0,0,0
62,0,4,0,0,4
63,2,1,0,1,4
64,2,0,1,1,4
65,0,0,0,0,0
66,0,1,1,0,2
67,0,0,1,0,1
68,0,0,4,0,4
69,0,0,1,2,3
70,0,0,0,1,1
71,0,0,1,0,1
72,0,2,0,0,2
73,0,0,0,0,0
74,1,0,4,0,5
75,1,3,0,0,4
76,0,0,2,0,2
77,1,1,0,0,2
78,0,2,0,0,2
79,0,0,0,1,1
80,1,1,0,0,2
81,0,0,0,0,0
