source_id,time_bin,west_in,east_in,north_in,south_in,total_flow
zhandong_road1,0,4,3,1,3,11
zhandong_road1,1,4,0,4,3,11
zhandong_road1,2,4,0,4,2,10
zhandong_road1,3,1,1,2,1,5
zhandong_road1,4,2,9,1,0,12
zhandong_road1,5,6,8,1,0,15
zhandong_road1,6,0,7,1,0,8
zhandong_road1,7,3,4,1,0,8
zhandong_road1,8,3,6,2,0,11
zhandong_road1,9,3,3,0,0,6
zhandong_road1,10,4,1,4,0,9
zhandong_road1,11,2,3,3,0,8
zhandong_road1,12,1,0,0,0,1
zhandong_road1,13,1,2,4,2,9
zhandong_road1,14,2,1,3,1,7
zhandong_road1,15,3,2,6,0,11
zhandong_road1,16,2,2,3,3,10
zhandong_road1,17,1,2,3,1,7
zhandong_road1,18,0,2,0,2,4
zhandong_road1,19,2,2,3,1,8
zhandong_road1,20,0,2,4,0,6
zhandong_road1,21,2,1,2,1,6
zhandong_road1,22,4,5,0,0,9
zhandong_road1,23,1,4,1,0,6
zhandong_road1,24,1,5,1,0,7
zhandong_road1,25,1,5,3,0,9
zhandong_road1,26,3,4,2,0,9
zhandong_road1,27,1,2,0,0,3
zhandong_road1,28,1,1,1,0,3
zhandong_road1,29,2,1,2,0,5
zhandong_road1,30,1,1,5,0,7
zhandong_road1,31,0,2,6,1,9
zhandong_road1,32,3,1,3,0,7
zhandong_road1,33,1,0,2,4,7
zhandong_road1,34,1,2,4,3,10
zhandong_road1,35,2,0,2,2,6
zhandong_road1,36,0,3,3,2,8
zhandong_road1,37,1,1,2,0,4
zhandong_road1,38,2,1,2,1,6
zhandong_road1,39,1,1,1,1,4
zhandong_road1,40,2,6,0,0,8
zhandong_road1,41,1,5,1,0,7
zhandong_road1,42,1,3,0,0,4
zhandong_road1,43,3,2,1,0,6
zhandong_road1,44,2,4,2,0,8
zhandong_road1,45,4,5,0,0,9
zhandong_road1,46,4,0,2,0,6
zhandong_road1,47,3,0,4,1,8
zhandong_road1,48,0,1,2,0,3
zhandong_road1,49,1,2,4,3,10
zhandong_road1,50,2,2,2,1,7
zhandong_road1,51,1,0,2,1,4
zhandong_road1,52,2,0,1,2,5
zhandong_road1,53,0,0,0,0,0
zhandong_road1,54,0,1,0,2,3
zhandong_road1,55,0,2,4,1,7
zhandong_road1,56,2,1,1,0,4
zhandong_road1,57,3,2,1,2,8
zhandong_road1,58,5,6,1,0,12
zhandong_road1,59,4,6,2,0,12
zhandong_road1,60,0,5,0,0,5
zhandong_road1,61,2,1,0,0,3
zhandong_road1,62,2,3,1,0,6
zhandong_road1,63,3,4,1,0,8
zhandong_road1,64,4,3,2,0,9
zhandong_road1,65,1,3,3,0,7
zhandong_road1,66,2,1,1,2,6
zhandong_road1,67,3,2,4,1,10
zhandong_road1,68,2,1,2,3,8
zhandong_road1,69,1,0,4,1,6
zhandong_road1,70,0,0,3,0,3
zhandong_road1,71,2,0,0,2,4
zhandong_road1,72,0,1,2,1,4
zhandong_road1,73,3,0,4,0,7
zhandong_road1,74,1,1,1,2,5
zhandong_road1,75,1,1,2,2,6
zhandong_road1,76,6,6,2,0,14
zhandong_road1,77,4,5,2,0,11
zhandong_road1,78,1,6,2,0,9
zhandong_road1,79,1,3,2,0,6
zhandong_road1,80,0,4,3,0,7
zhandong_road1,81,2,2,2,0,6
zhandong_road1,82,3,2,2,0,7
zhandong_road1,83,0,0,1,0,1
zhandong_road2,0,3,3,3,0,9
zhandong_road2,1,1,3,1,3,8
zhandong_road2,2,2,3,4,1,10
zhandong_road2,3,0,1,2,0,3
zhandong_road2,4,1,1,3,1,6
zhandong_road2,5,0,3,5,2,10
zhandong_road2,6,2,3,4,2,11
zhandong_road2,7,0,1,1,1,3
zhandong_road2,8,2,3,1,1,7
zhandong_road2,9,0,1,3,1,5
zhandong_road2,10,1,2,1,1,5
zhandong_road2,11,3,6,2,0,11
zhandong_road2,12,3,5,0,0,8
zhandong_road2,13,3,2,3,0,8
zhandong_road2,14,1,5,0,0,6
zhandong_road2,15,1,5,0,0,6
zhandong_road2,16,3,2,1,0,6
zhandong_road2,17,1,2,2,0,5
zhandong_road2,18,4,1,3,1,9
zhandong_road2,19,1,2,3,0,6
zhandong_road2,20,1,3,3,2,9
zhandong_road2,21,2,2,2,2,8
zhandong_road2,22,0,2,4,2,8
zhandong_road2,23,0,2,4,1,7
zhandong_road2,24,2,1,2,2,7
zhandong_road2,25,1,0,4,2,7
zhandong_road2,26,1,0,3,1,5
zhandong_road2,27,1,1,4,1,7
zhandong_road2,28,0,3,0,2,5
zhandong_road2,29,4,7,1,0,12
zhandong_road2,30,2,5,2,0,9
zhandong_road2,31,2,2,0,0,4
zhandong_road2,32,0,1,3,0,4
zhandong_road2,33,0,4,1,0,5
zhandong_road2,34,1,2,0,0,3
zhandong_road2,35,4,1,1,0,6
zhandong_road2,36,3,4,3,0,10
zhandong_road2,37,0,0,2,1,3
zhandong_road2,38,0,0,2,1,3
zhandong_road2,39,5,2,3,0,10
zhandong_road2,40,0,3,4,0,7
zhandong_road2,41,1,1,5,0,7
zhandong_road2,42,3,2,4,2,11
zhandong_road2,43,1,1,0,0,2
