source_id,series,model,MAE,RMSE
zhandong_road1,west_in,naive_persistence,1.0588235294117647,1.6087993330796875
zhandong_road1,west_in,"ARIMA(1, 0, 1)",1.3805463533405868,1.512544610874693
zhandong_road1,east_in,naive_persistence,1.2352941176470589,1.7320508075688772
zhandong_road1,east_in,"ARIMA(1, 0, 1)",1.8085191870126314,2.0554972656217023
zhandong_road1,north_in,naive_persistence,1.411764705882353,1.909727421264462
zhandong_road1,north_in,"ARIMA(1, 0, 1)",0.9465565598100971,1.1905160368708512
zhandong_road1,south_in,naive_persistence,1.1764705882352942,1.5339299776947408
zhandong_road1,south_in,"ARIMA(1, 0, 1)",1.1511120471424845,1.3901947876473895
zhandong_road1,total_flow,naive_persistence,2.176470588235294,3.0582578662484607
zhandong_road1,total_flow,"ARIMA(1, 0, 1)",2.5230479152958476,3.158085224973197
